实体,来源表,建议保留字段,初步筛选规则
企业,dw_company_info_tyc,"id,name,used_name,credit_code,status,establish_date,province,city,nation_industry_2,nation_industry_3,regist_capi_value_cal,insured_number,website,business_scope,description,update_time","用 status 筛，保留 存续/在业/正常"
科研机构/高校,dw_institution_2026,"id,name,support_org_id,support_org_name,type_1,type_2,domain,province,city,website,description,level,achievement,update_time","用 domain 筛，保留 domain 非空"
投资机构,dw_investor,"id,name,capital_scale,total_invest_amount,current_year_invest_amount,next_round_ratio,type,intro,update_time","用 total_invest_amount 筛，保留 >= 5"
人物,dw_expert_new,"id,name,org,orgs,prof_title,position,research_fields,honors,awards,resume,province,city,url,update_time","用 org 筛，保留 org 非空"
产品/服务,dw_company_main_product,"id,name,credit_code,main_product,update_time","用 main_product 筛，保留 main_product 非空"
项目,dw_project,"id,name,approval_num,category,approval_year,project_leader,org,keywords,abstract_zh,funding_value,start_date,end_date,update_time","用 approval_year 筛，保留 >= 2018"
专利,dw_patent_china,"id,title_cn,title,apply_code,public_code,patent_type,grant_date,apply_date,public_date,applicants_norm,patentees_norm,inventors,main_ipc,cited_other_times,abstract_cn,pdf_url,update_time","用 grant_date 筛，保留 grant_date 非空"
文献,dw_article,"id,title,abstract,keywords,authors,year,subject,journal,doi,applicants,url,update_time","用 year 筛，保留 >= 2018"
招投标,dw_company_bidder,"id,title,deal_money,public_date,tender,bidder,project_name,industry,project_address,tender_type,bidder_type,update_time","用 deal_money 筛，保留 > 0"
技术成果,dw_achievement_info,"id,name,type,publish_time,unit,person,technical_field,application_field,technology_maturity,content,url,ipr,honors,update_time","用 publish_time 筛，保留 >= 2018-01-01"
地方标准,dw_standard_local,"id,standard_code,standard_name,standard_level,local_name,publish_date,effective_date,abolish_date,industry_class,standard_type,publish_department,drafting_unit,status,details,url_link,update_time","用 status 筛，保留 现行"
行业标准,dw_standard_industry,"id,standard_code,standard_name,standard_level,domain_code,domain_name,publish_date,effective_date,abolish_date,industry_class,standard_type,publish_department,drafting_unit,status,details,url_link,update_time","用 status 筛，保留 现行"
国家标准,dw_standard_nation,"id,standard_code,standard_name,standard_level,publish_date,effective_date,abolish_date,standard_type,technical_unit,effect_unit,competent_department,drafting_unit,status,details,url_link,update_time","用 status 筛，保留 现行"
榜单,dw_list,"id,name,description,publish_organization,publish_time,first_sort,second_sort,is_official,indicator,lz_industry_chain,url,update_time","用 is_official 筛，保留 = 1"
榜单明细,dw_list_detail,"id,pid,name,sort_order,cid,company_name,credit_code,main_product,industry,indicator_value,indicator_unit,update_time","用 sort_order 筛，保留 <= 100"
